woreda_name,cluster_id
Denbia,6
North Achefer,3
Bahir Dar Zuria,6
Yilmana Densa,4
Mecha,4
Dembecha,8
Jabi Tehnan,8
Burie Zuria,3
Womberma,3
Gonji Kolela,4
South Achefer,3
Dehena,2
Metema,6
Abargelie,1
Sehela,1
Ankesha,3
Fagita Lekoma,4
Jawi,3
Quara,3
Guagusa Shekudad,3
Jilie Timuga,1
Artuma Fursi,7
Shewa Robit,1
Alefa,3
Kobo Town,7
Misrak Belesa,2
Libokemkem,3
Fogera,5
Estea,4
Dera,4
Andabiet,4
Bugna,2
Raya Kobo,7
Mekit,2
Lasta,2
Tehulederie,1
Kalu,1
Borena,2
Merehabete,1
Antsokiya Gemza,6
Efratana Gidim,1
Kewet,2
Gondar Zuria,4
Debre Elias,3
Gozamin,6
Baso Liben,2
Awabel,6
